siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
785423773;41.0;2017.0;500 à 999 salariés
785433814;42.0;2017.0;1 000 à 1 999 salariés
785447467;41.0;2017.0;500 à 999 salariés
785665126;41.0;2017.0;500 à 999 salariés
785769555;41.0;2017.0;500 à 999 salariés
786019554;41.0;2017.0;500 à 999 salariés
786116681;42.0;2017.0;1 000 à 1 999 salariés
786920306;41.0;2017.0;500 à 999 salariés
788182954;41.0;2017.0;500 à 999 salariés
788213825;41.0;2017.0;500 à 999 salariés
788213825;42.0;2017.0;1 000 à 1 999 salariés
788213825;41.0;2017.0;500 à 999 salariés
788213825;41.0;2017.0;500 à 999 salariés
788213825;41.0;2017.0;500 à 999 salariés
788214963;41.0;2017.0;500 à 999 salariés
789139789;41.0;2017.0;500 à 999 salariés
789216702;41.0;2017.0;500 à 999 salariés
789237641;41.0;2017.0;500 à 999 salariés
789515160;41.0;2017.0;500 à 999 salariés
789823580;41.0;2017.0;500 à 999 salariés
790151716;41.0;2017.0;500 à 999 salariés
790858294;41.0;2017.0;500 à 999 salariés
790858294;41.0;2017.0;500 à 999 salariés
790858294;41.0;2017.0;500 à 999 salariés
791079858;42.0;2017.0;1 000 à 1 999 salariés
791747819;41.0;2017.0;500 à 999 salariés
791866890;41.0;2017.0;500 à 999 salariés
793618828;41.0;2017.0;500 à 999 salariés
794030213;42.0;2017.0;1 000 à 1 999 salariés
794487231;41.0;2017.0;500 à 999 salariés
795275262;41.0;2017.0;500 à 999 salariés
797080850;42.0;2017.0;1 000 à 1 999 salariés
797904968;41.0;2017.0;500 à 999 salariés
798233011;41.0;2017.0;500 à 999 salariés
799687454;41.0;2017.0;500 à 999 salariés
800543431;41.0;2017.0;500 à 999 salariés
801672791;41.0;2017.0;500 à 999 salariés
802485920;41.0;2017.0;500 à 999 salariés
803247956;41.0;2017.0;500 à 999 salariés
803733625;41.0;2017.0;500 à 999 salariés
803733625;41.0;2017.0;500 à 999 salariés
803733625;41.0;2017.0;500 à 999 salariés
803733625;41.0;2017.0;500 à 999 salariés
803744507;41.0;2017.0;500 à 999 salariés
803769827;41.0;2017.0;500 à 999 salariés
804834711;41.0;2017.0;500 à 999 salariés
805020740;41.0;2017.0;500 à 999 salariés
806420360;41.0;2017.0;500 à 999 salariés
807641360;42.0;2017.0;1 000 à 1 999 salariés
808227052;51.0;2017.0;2 000 à 4 999 salariés
808234801;41.0;2017.0;500 à 999 salariés
808332670;41.0;2017.0;500 à 999 salariés
808332670;41.0;2017.0;500 à 999 salariés
808332670;41.0;2017.0;500 à 999 salariés
811847243;41.0;2017.0;500 à 999 salariés
812986289;41.0;2017.0;500 à 999 salariés
812986289;41.0;2017.0;500 à 999 salariés
813755949;41.0;2017.0;500 à 999 salariés
815243852;41.0;2017.0;500 à 999 salariés
815371661;41.0;2017.0;500 à 999 salariés
817439524;41.0;2017.0;500 à 999 salariés
818336638;41.0;2017.0;500 à 999 salariés
819779406;41.0;2017.0;500 à 999 salariés
821649084;41.0;2017.0;500 à 999 salariés
822947636;41.0;2017.0;500 à 999 salariés
824455679;41.0;2017.0;500 à 999 salariés
845420280;41.0;2017.0;500 à 999 salariés
847150133;41.0;2017.0;500 à 999 salariés
854800745;41.0;2017.0;500 à 999 salariés
855200507;53.0;2017.0;10 000 salariés et plus
855200507;41.0;2017.0;500 à 999 salariés
855200507;42.0;2017.0;1 000 à 1 999 salariés
855200507;41.0;2017.0;500 à 999 salariés
855200507;42.0;2017.0;1 000 à 1 999 salariés
855200507;41.0;2017.0;500 à 999 salariés
855200507;41.0;2017.0;500 à 999 salariés
855200507;41.0;2017.0;500 à 999 salariés
855200507;41.0;2017.0;500 à 999 salariés
855200507;41.0;2017.0;500 à 999 salariés
857200521;41.0;2017.0;500 à 999 salariés
